patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_68_84,['Marine waters'],train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_68_84,S2A_MSIL2A_20171201T112431_68_84,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_70_21,['Arable land'],train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_70_21,S2A_MSIL2A_20171201T112431_70_21,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_71_13,['Agro-forestry areas' 'Arable land'],validation,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_71_13,S2A_MSIL2A_20171201T112431_71_13,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_71_54,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",validation,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_71_54,S2A_MSIL2A_20171201T112431_71_54,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_71_87,['Marine waters'],train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_71_87,S2A_MSIL2A_20171201T112431_71_87,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_72_37,"['Agro-forestry areas' 'Arable land'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_72_37,S2A_MSIL2A_20171201T112431_72_37,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_72_73,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation' 'Permanent crops'
 'Urban fabric']",validation,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_72_73,S2A_MSIL2A_20171201T112431_72_73,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_76_01,"['Agro-forestry areas' 'Arable land' 'Permanent crops'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_76_1,S2A_MSIL2A_20171201T112431_76_1,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_76_61,"['Agro-forestry areas' 'Broad-leaved forest'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_76_61,S2A_MSIL2A_20171201T112431_76_61,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_78_47,"['Agro-forestry areas' 'Arable land' 'Broad-leaved forest'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_78_47,S2A_MSIL2A_20171201T112431_78_47,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_78_54,"['Agro-forestry areas'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_78_54,S2A_MSIL2A_20171201T112431_78_54,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_79_09,['Agro-forestry areas' 'Arable land' 'Complex cultivation patterns'],train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_79_9,S2A_MSIL2A_20171201T112431_79_9,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_79_64,"['Broad-leaved forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_79_64,S2A_MSIL2A_20171201T112431_79_64,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_81_41,"['Arable land' 'Coniferous forest' 'Transitional woodland, shrub'
 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_81_41,S2A_MSIL2A_20171201T112431_81_41,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_81_76,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation' 'Permanent crops']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_81_76,S2A_MSIL2A_20171201T112431_81_76,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_82_56,"['Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_82_56,S2A_MSIL2A_20171201T112431_82_56,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_82_62,"['Broad-leaved forest' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_82_62,S2A_MSIL2A_20171201T112431_82_62,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_83_57,"['Mixed forest' 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_83_57,S2A_MSIL2A_20171201T112431_83_57,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_83_60,"['Broad-leaved forest' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_83_60,S2A_MSIL2A_20171201T112431_83_60,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_84_80,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_84_80,S2A_MSIL2A_20171201T112431_84_80,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_86_44,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_86_44,S2A_MSIL2A_20171201T112431_86_44,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_86_51,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_86_51,S2A_MSIL2A_20171201T112431_86_51,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_87_27,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation' 'Permanent crops']",train,Portugal,S1A_IW_GRDH_1SDV_20171128T182648_29SNB_87_27,S2A_MSIL2A_20171201T112431_87_27,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_87_44,"['Agro-forestry areas' 'Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_87_44,S2A_MSIL2A_20171201T112431_87_44,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_89_75,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation' 'Permanent crops']",train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_89_75,S2A_MSIL2A_20171201T112431_89_75,False,False
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_90_87,['Marine waters'],train,Portugal,S1A_IW_GRDH_1SDV_20171203T183450_29SNB_90_87,S2A_MSIL2A_20171201T112431_90_87,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_03_08,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_3_8,S2A_MSIL2A_20171208T093351_3_8,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_06_65,['Complex cultivation patterns' 'Pastures' 'Urban fabric'],train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_6_65,S2A_MSIL2A_20171208T093351_6_65,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_08_32,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Pastures' 'Transitional woodland, shrub']",train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_8_32,S2A_MSIL2A_20171208T093351_8_32,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_10_21,['Broad-leaved forest' 'Natural grassland and sparsely vegetated areas'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_10_21,S2A_MSIL2A_20171208T093351_10_21,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_12_78,['Arable land' 'Complex cultivation patterns'],train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_12_78,S2A_MSIL2A_20171208T093351_12_78,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_12_90,['Arable land' 'Industrial or commercial units' 'Urban fabric'],train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_12_90,S2A_MSIL2A_20171208T093351_12_90,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_13_71,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],validation,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_13_71,S2A_MSIL2A_20171208T093351_13_71,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_15_08,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_15_8,S2A_MSIL2A_20171208T093351_15_8,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_17_64,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",validation,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_17_64,S2A_MSIL2A_20171208T093351_17_64,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_17_79,['Broad-leaved forest' 'Complex cultivation patterns' 'Coniferous forest'],train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_17_79,S2A_MSIL2A_20171208T093351_17_79,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_17_83,['Broad-leaved forest' 'Mixed forest'],train,Kosovo,S1B_IW_GRDH_1SDV_20171206T163204_34TEN_17_83,S2A_MSIL2A_20171208T093351_17_83,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_18_16,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_18_16,S2A_MSIL2A_20171208T093351_18_16,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_18_36,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_18_36,S2A_MSIL2A_20171208T093351_18_36,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_19_13,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_19_13,S2A_MSIL2A_20171208T093351_19_13,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_20_27,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_20_27,S2A_MSIL2A_20171208T093351_20_27,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_23_01,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_23_1,S2A_MSIL2A_20171208T093351_23_1,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_26_79,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_26_79,S2A_MSIL2A_20171208T093351_26_79,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_28_71,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Natural grassland and sparsely vegetated areas']",train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_28_71,S2A_MSIL2A_20171208T093351_28_71,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_33_78,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub' 'Urban fabric']",train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_33_78,S2A_MSIL2A_20171208T093351_33_78,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_33_79,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Kosovo,S1B_IW_GRDH_1SDV_20171206T163204_34TEN_33_79,S2A_MSIL2A_20171208T093351_33_79,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_37_40,['Broad-leaved forest'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_37_40,S2A_MSIL2A_20171208T093351_37_40,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_37_62,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",test,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_37_62,S2A_MSIL2A_20171208T093351_37_62,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_39_14,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_39_14,S2A_MSIL2A_20171208T093351_39_14,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_40_49,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_40_49,S2A_MSIL2A_20171208T093351_40_49,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_42_25,"['Broad-leaved forest' 'Permanent crops' 'Transitional woodland, shrub']",test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_42_25,S2A_MSIL2A_20171208T093351_42_25,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_42_72,"['Arable land' 'Broad-leaved forest'
 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",validation,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_42_72,S2A_MSIL2A_20171208T093351_42_72,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_44_21,"['Broad-leaved forest' 'Complex cultivation patterns' 'Mixed forest'
 'Transitional woodland, shrub']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_44_21,S2A_MSIL2A_20171208T093351_44_21,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_48_53,['Broad-leaved forest' 'Pastures'],test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_48_53,S2A_MSIL2A_20171208T093351_48_53,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_48_76,"['Broad-leaved forest' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",validation,Serbia,S1B_IW_GRDH_1SDV_20171206T163204_34TEN_48_76,S2A_MSIL2A_20171208T093351_48_76,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_53_18,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_53_18,S2A_MSIL2A_20171208T093351_53_18,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_54_70,"['Broad-leaved forest' 'Pastures' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_54_70,S2A_MSIL2A_20171208T093351_54_70,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_55_30,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_55_30,S2A_MSIL2A_20171208T093351_55_30,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_56_11,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_56_11,S2A_MSIL2A_20171208T093351_56_11,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_58_27,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_58_27,S2A_MSIL2A_20171208T093351_58_27,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_59_21,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_59_21,S2A_MSIL2A_20171208T093351_59_21,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_60_11,['Broad-leaved forest'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_60_11,S2A_MSIL2A_20171208T093351_60_11,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_61_20,"['Arable land' 'Complex cultivation patterns' 'Inland wetlands' 'Pastures'
 'Urban fabric']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_61_20,S2A_MSIL2A_20171208T093351_61_20,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_61_37,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Permanent crops']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_61_37,S2A_MSIL2A_20171208T093351_61_37,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_62_00,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_62_0,S2A_MSIL2A_20171208T093351_62_0,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_00,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_64_0,S2A_MSIL2A_20171208T093351_64_0,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_28,['Arable land' 'Complex cultivation patterns'],test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_64_28,S2A_MSIL2A_20171208T093351_64_28,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_29,['Arable land'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_64_29,S2A_MSIL2A_20171208T093351_64_29,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_34,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",test,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_64_34,S2A_MSIL2A_20171208T093351_64_34,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_75,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_64_75,S2A_MSIL2A_20171208T093351_64_75,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_64_84,"['Broad-leaved forest' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_64_84,S2A_MSIL2A_20171208T093351_64_84,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_68_11,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_68_11,S2A_MSIL2A_20171208T093351_68_11,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_68_71,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_68_71,S2A_MSIL2A_20171208T093351_68_71,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_72_44,['Broad-leaved forest' 'Complex cultivation patterns'],validation,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_72_44,S2A_MSIL2A_20171208T093351_72_44,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_73_77,"['Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_73_77,S2A_MSIL2A_20171208T093351_73_77,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_74_35,['Arable land' 'Complex cultivation patterns'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_74_35,S2A_MSIL2A_20171208T093351_74_35,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_74_39,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_74_39,S2A_MSIL2A_20171208T093351_74_39,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_74_69,"['Broad-leaved forest' 'Coniferous forest' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_74_69,S2A_MSIL2A_20171208T093351_74_69,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_78_36,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_78_36,S2A_MSIL2A_20171208T093351_78_36,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_80_49,['Broad-leaved forest' 'Mixed forest'],train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_80_49,S2A_MSIL2A_20171208T093351_80_49,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_80_54,"['Broad-leaved forest' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_80_54,S2A_MSIL2A_20171208T093351_80_54,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_84_10,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_84_10,S2A_MSIL2A_20171208T093351_84_10,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_85_10,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_85_10,S2A_MSIL2A_20171208T093351_85_10,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_85_14,"['Broad-leaved forest' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_85_14,S2A_MSIL2A_20171208T093351_85_14,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_85_32,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_85_32,S2A_MSIL2A_20171208T093351_85_32,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_86_24,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Natural grassland and sparsely vegetated areas']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_86_24,S2A_MSIL2A_20171208T093351_86_24,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_88_30,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_88_30,S2A_MSIL2A_20171208T093351_88_30,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_88_37,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_88_37,S2A_MSIL2A_20171208T093351_88_37,False,False
S2A_MSIL2A_20171210T101411_N9999_R022_T33UWP_01_04,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Austria,S1B_IW_GRDH_1SDV_20171208T050913_33UWP_1_4,S2A_MSIL2A_20171210T101411_1_4,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_00_62,"['Complex cultivation patterns' 'Mixed forest'
 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub' 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_0_62,S2A_MSIL2A_20171221T112501_0_62,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_02_14,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Permanent crops' 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_2_14,S2A_MSIL2A_20171221T112501_2_14,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_03_08,"['Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_3_8,S2A_MSIL2A_20171221T112501_3_8,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_03_77,['Arable land' 'Pastures'],train,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_3_77,S2A_MSIL2A_20171221T112501_3_77,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_03_83,['Arable land' 'Coastal wetlands' 'Marine waters' 'Pastures'],train,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_3_83,S2A_MSIL2A_20171221T112501_3_83,False,False
